ID_prestamo;Monto actual del préstamo;Fechas;Término;Puntaje de crédito; Ingresos anuales ;Años en el trabajo;Garantía;Objetivo;Deuda Mensual;Años de Historial de Crédito;Meses desde el último moroso;Número de cuentas abiertas;Saldo de crédito actual;Quiebras;
A01B1/222;2500000;18/10/2022;Long Term;715;$ 22.442.339;< 1 year;Rent;Consolidación de la deuda;14007,18;17;25;14;65474;0;
A01B1/225;2500000;4/11/2022;Long Term;715;$ 694.526;8 years;Rent;Consolidación de la deuda;4358,22;17,3;47;5;137332;0;
A01B1/227;346610;20/11/2022;Short Term;744;$ 2.245.116;2 years;Home Mortgage;Consolidación de la deuda;24134,94;17,6;68;14;729695;0;
A01B1/24;2210000;15/11/2022;Short Term;747;$ 13.394.676;5 years;Home Mortgage;Otros;5834,33;31,9;NA;7;164350;0;
A01B1/243;219648;29/7/2022;Long Term;722;$ 682.898;10+ years;Home Mortgage;Consolidación de la deuda;18893,79;15,5;NA;8;347396;0;
A01B1/246;334620;12/6/2022;Short Term;740;$ 963.300;10+ years;Home Mortgage;Consolidación de la deuda;16536,65;16,4;55;17;330581;0;
A01B3/00;219868;23/4/2022;Short Term;736;$ 683.582;6 years;Own Home;Consolidación de la deuda;9057,49;9,6;NA;8;121467;0;
A01B3/02;222816;11/6/2022;Long Term;708;$ 990.185;4 years;Home Mortgage;Consolidación de la deuda;6031,93;17,5;NA;8;125020;1;
A01B3/04;108416;25/8/2022;Short Term;700;$ 2.245.116;10+ years;Rent;Consolidación de la deuda;41882,46;20,4;NA;11;827051;0;
A01B3/06;108152;3/10/2022;Short Term;705;$ 747.156;4 years;Rent;Préstamo comercial;20235,38;19,9;15;14;174344;0;
A01B3/08;174724;6/6/2022;Short Term;701;$ 979.716;5 years;Rent;Consolidación de la deuda;11341,29;8,2;NA;4;85633;0;
A01B3/10;404008;11/3/2022;Long Term;700;$ 2.245.116;6 years;Home Mortgage;Consolidación de la deuda;42159,86;15,9;NA;16;684950;0;
A01B3/12;360228;4/1/2022;Short Term;698;$ 5.951.484;10+ years;Home Mortgage;Consolidación de la deuda;27984,15;15,5;18;8;164008;0;
A01B3/14;218724;18/12/2022;Short Term;697;$ 979.716;< 1 year;HaveMortgage;Viaje;4967,36;11;6;7;16511;0;
A01B3/16;441012;15/10/2022;Short Term;738;$ 979.716;10+ years;Rent;Consolidación de la deuda;12899,67;27,3;NA;11;380228;0;
A01B3/18;337370;1/7/2022;Long Term;717;$ 1.146.004;1 year;Rent;Consolidación de la deuda;14802,33;21;32;9;256139;0;
A01B3/20;765688;12/6/2022;Long Term;706;$ 5.951.484;3 years;Rent;VIaje (pequeño);61498,63;22,4;NA;13;549100;0;
A01B3/22;468908;4/8/2022;Long Term;610;$ 1.833.842;8 years;Rent;Otros;5898,93;14,4;NA;19;183863;1;
A01B3/24;219428;21/8/2022;Short Term;712;$ 1.301.671;9 years;Rent;Consolidación de la deuda;22237,03;15,6;NA;9;458679;0;
A01B3/26;57604;26/8/2022;Short Term;706;$ 1.306.592;9 years;Rent;Otros;8078,99;14;NA;4;1596;0;
A01B3/28;401192;10/8/2022;Short Term;704;$ 1.539.912;10+ years;Rent;Consolidación de la deuda;2800,41;22;NA;18;423092;0;
A01B3/30;257444;16/10/2022;Short Term;736;$ 648.508;10+ years;Rent;Consolidación de la deuda;5944,53;17,5;46;10;204516;0;
A01B3/32;309694;10/11/2022;Long Term;732;$ 2.429.815;10+ years;Own Home;Consolidación de la deuda;23473,17;26;38;10;402059;0;
A01B3/34;214258;10/10/2022;Short Term;739;$ 926.345;1 year;Rent;Consolidación de la deuda;7207,46;12,8;69;10;209361;0;
A01B3/36;325754;18/3/2022;Short Term;746;$ 1.796.165;4 years;Home Mortgage;Consolidación de la deuda;14301,3;25;13;11;165186;0;
A01B3/38;651354;8/6/2022;Short Term;646;$ 2.427.815;10+ years;Home Mortgage;Para hogar;32314,25;19,1;37;21;356687;0;
A01B3/40;262108;28/1/2022;Short Term;746;$ 855.342;7 years;Rent;Consolidación de la deuda;9194,86;22,8;NA;5;110884;0;
A01B3/42;310376;6/5/2022;Short Term;649;$ 1.164.225;2 years;Rent;Consolidación de la deuda;5101,12;8,5;NA;10;126179;0;
A01B3/421;429616;21/12/2022;Short Term;746;$ 1.164.225;10+ years;Home Mortgage;Consolidación de la deuda;21998,58;22,3;25;12;321898;0;
A01B3/4215;414744;10/6/2022;Short Term;746;$ 1.164.225;10+ years;Rent;Consolidación de la deuda;14746,66;10,5;NA;17;258172;0;
A01B3/426;654126;12/6/2022;Long Term;746;$ 2.504.504;9 years;Home Mortgage;Otros;14818,48;31,9;11;7;130264;0;
A01B3/44;539990;13/4/2022;Long Term;746;$ 1.790.807;2 years;Home Mortgage;Consolidación de la deuda;24026,64;17,3;53;13;81358;1;
A01B3/46;531476;9/11/2022;Short Term;746;$ 1.487.776;10+ years;Home Mortgage;Consolidación de la deuda;30122,6;26,4;NA;26;658559;0;
A01B3/462;316426;16/2/2022;Long Term;717;$ 683.183;1 year;Rent;Consolidación de la deuda;16453,24;15;2;10;136952;0;
A01B3/464;473902;9/10/2022;Long Term;713;$ 1.042.511;5 years;Home Mortgage;Consolidación de la deuda;22240,45;14;NA;7;232655;0;
A01B3/466;223344;3/7/2022;Short Term;716;$ 1.195.898;10+ years;Rent;Consolidación de la deuda;11759,86;17,6;71;7;94677;0;
A01B3/468;766238;6/3/2022;Long Term;649;$ 1.796.165;< 1 year;Rent;Consolidación de la deuda;36821,24;33,1;NA;10;510093;0;
A01B3/50;471152;3/7/2022;Long Term;688;$ 1.017.279;< 1 year;Rent;Consolidación de la deuda;14496,24;8,5;NA;7;115444;0;
A01B3/52;563486;24/10/2022;Short Term;747;$ 2.647.308;2 years;Rent;Consolidación de la deuda;45666,12;16,8;NA;26;137256;0;
A01B3/54;219824;8/7/2022;Long Term;702;$ 2.088.328;< 1 year;Home Mortgage;Consolidación de la deuda;22275,41;21,7;NA;13;155800;1;
A01B3/56;304986;19/9/2022;Long Term;674;$ 4.872.778;3 years;Rent;Consolidación de la deuda;30130,01;21,9;26;13;155078;0;
A01B3/58;105666;13/2/2022;Long Term;742;$ 806.170;4 years;Home Mortgage;Consolidación de la deuda;15135,78;15,9;NA;10;226708;0;
A01B3/60;346412;8/6/2022;Short Term;730;$ 1.790.807;9 years;Home Mortgage;Consolidación de la deuda;7824,39;14,8;74;10;333678;0;
A01B3/62;263506;1/2/2022;Long Term;733;$ 1.403.492;4 years;Rent;Consolidación de la deuda;30525,78;26,7;40;19;16492;0;
A01B3/64;170126;1/11/2022;Short Term;712;$ 1.137.492;3 years;Rent;Otros;3564,21;12,5;40;5;70205;0;
A01B3/66;134398;21/2/2022;Short Term;746;$ 2.205.425;10+ years;Own Home;Facturas médicas;38447,83;33,5;NA;15;668629;0;
A01B3/68;442948;18/2/2022;Long Term;719;$ 956.365;2 years;Rent;Consolidación de la deuda;26618,81;8;NA;17;384351;0;
A01B3/70;142868;21/4/2022;Short Term;740;$ 2.429.815;10+ years;Rent;Consolidación de la deuda;14781,43;31;52;15;189449;0;
A01B3/72;332508;14/6/2022;Short Term;3 years;$ 926.345;4 years;Home Mortgage;Consolidación de la deuda;13895,27;19,6;NA;9;356554;0;
A01B3/74;235950;30/10/2022;Short Term;726;$ 1.164.396;7 years;Own Home;Consolidación de la deuda;13390,63;15,7;NA;7;168074;0;
A01B5/00;290708;20/7/2022;Short Term;726;$ 1.487.776;10+ years;Rent;Consolidación de la deuda;10067,15;17,1;NA;9;387277;0;
A01B5/02;153714;18/6/2022;Short Term;740;$ 995.714;10+ years;Home Mortgage;Consolidación de la deuda;13939,92;21,7;NA;8;218614;0;
A01B5/04;69366;2/7/2022;Short Term;731;$ 1.273.133;3 years;Rent;Consolidación de la deuda;28433,5;20,5;NA;11;84930;0;
A01B5/06;108878;15/7/2022;Short Term;751;$ 1.316.434;10+ years;Home Mortgage;Consolidación de la deuda;4377,22;37,5;NA;18;354920;0;
A01B5/08;288068;19/7/2022;Long Term;685;$ 948.062;2 years;Rent;Consolidación de la deuda;22121,32;14,5;NA;13;358359;0;
A01B5/10;447436;17/1/2022;Long Term;722;$ 1.159.266;10+ years;Home Mortgage;Consolidación de la deuda;20287,25;43,4;NA;17;448514;0;
A01B5/12;401192;18/5/2022;Short Term;721;$ 1.116.440;4 years;Rent;Consolidación de la deuda;14792,83;13,5;48;9;431414;0;
A01B5/14;165440;22/12/2022;Short Term;710;$ 948.000;3 years;Home Mortgage;Consolidación de la deuda;8257,21;12,2;NA;7;54986;0;
A01B5/16;168124;27/2/2022;Short Term;628;$ 967.955;1 year;Rent;Otros;14519,42;14,5;34;18;143697;0;
A01B7/00;306460;11/12/2022;Long Term;652;$ 3.503.106;7 years;Rent;Préstamo comercial;7590,12;10,2;NA;9;133817;0;
A01B9/00;657162;7/6/2022;Short Term;740;$ 3.783.660;3 years;Home Mortgage;Consolidación de la deuda;25508,07;15,2;13;14;579937;0;
A01B9/003;314072;31/12/2022;Short Term;748;$ 627.722;10+ years;Rent;Consolidación de la deuda;9959,99;29,2;NA;11;211242;0;
A01B9/006;763686;12/12/2022;Long Term;740;$ 2.581.663;3 years;Rent;Consolidación de la deuda;46469,82;25,6;NA;15;1137036;0;
A01B11/00;526900;10/3/2022;Long Term;667;$ 1.516.808;10+ years;Rent;Consolidación de la deuda;22246,53;23;6;7;196992;0;
A01B13/00;330132;28/10/2022;Short Term;743;$ 1.520.608;8 years;Rent;Consolidación de la deuda;17613,76;17;7;15;133133;0;
A01B13/02;774928;5/7/2022;Short Term;650;$ 967.955;< 1 year;Home Mortgage;Consolidación de la deuda;50060,44;15,9;43;11;721715;0;
A01B13/025;531124;30/3/2022;Long Term;655;$ 967.000;< 1 year;Home Mortgage;Consolidación de la deuda;30020,95;19;NA;22;563293;1;
A01B13/04;292072;9/6/2022;Short Term;700;$ 909.606;4 years;Home Mortgage;Consolidación de la deuda;15030,33;9,8;NA;10;304133;0;
A01B13/06;2500000;24/5/2022;Short Term;746;$ 33.332.590;8 years;Rent;Consolidación de la deuda;8230,23;22;20;5;298623;0;
A01B13/08;107668;28/4/2022;Short Term;747;$ 1.394.790;4 years;Home Mortgage;Consolidación de la deuda;29290,59;18,2;11;10;160474;0;
A01B13/10;268906;8/7/2022;Short Term;738;$ 909.606;< 1 year;Rent;Consolidación de la deuda;16145,63;18;14;11;589285;0;
A01B13/12;62172;18/10/2022;Short Term;720;$ 909.606;< 1 year;Rent;Consolidación de la deuda;3239,69;5,8;NA;11;97774;0;
A01B13/14;156398;23/11/2022;Short Term;716;$ 1.234.962;10+ years;Home Mortgage;Otros;26757,7;19,5;9;21;466108;0;
A01B13/16;44198;6/3/2022;Long Term;717;$ 839.838;10+ years;Home Mortgage;Otros;15047,24;17,5;40;7;127699;1;
A01B15/00;765314;19/11/2022;Long Term;690;$ 1.888.410;5 years;Home Mortgage;Para hogar;10543,48;16,5;NA;11;97869;0;
A01B15/02;232364;7/10/2022;Short Term;742;$ 580.260;5 years;Home Mortgage;Consolidación de la deuda;4506,61;22,3;NA;5;79363;0;
A01B15/025;141724;9/1/2022;Short Term;630;$ 847.400;5 years;Rent;Consolidación de la deuda;14405,61;13,8;66;8;80750;0;
A01B15/04;180356;11/5/2022;Short Term;690;$ 2.989.000;10+ years;Home Mortgage;Consolidación de la deuda;10221,43;25,1;NA;7;85424;1;
A01B15/06;111408;4/1/2022;Short Term;736;$ 1.346.891;3 years;Rent;Consolidación de la deuda;19529,91;10,6;NA;13;170221;0;
A01B15/08;161854;9/2/2022;Short Term;701;$ 660.079;2 years;Home Mortgage;Otros;7810,9;17,9;76;9;231401;0;
A01B15/10;145046;2/8/2022;Short Term;730;$ 832.428;3 years;Rent;Consolidación de la deuda;15677,28;13,2;NA;6;30552;1;
A01B15/12;272976;1/10/2022;Long Term;699;$ 2.959.000;< 1 year;Home Mortgage;Comprar casa;9332,23;12,8;NA;18;209171;0;
A01B15/125;61358;8/10/2022;Short Term;746;$ 454.214;2 years;Rent;Otros;1059,82;13,3;NA;3;3553;0;
A01B15/14;152196;8/2/2022;Short Term;701;$ 8.959.000;3 years;Rent;Otros;7908,56;18;39;10;117439;0;
A01B15/145;313676;26/11/2022;Long Term;702;$ 2.959.000;10+ years;Home Mortgage;Consolidación de la deuda;7376,37;17,3;NA;14;186257;1;
A01B15/16;293436;9/5/2022;Short Term;730;$ 1.357.531;10+ years;Rent;Consolidación de la deuda;21946,9;26,2;NA;7;763857;0;
A01B15/18;773696;18/8/2022;Long Term;697;$ 2.959.136;8 years;Home Mortgage;Consolidación de la deuda;47099,48;17;NA;9;786942;0;
A01B15/20;129844;28/3/2022;Short Term;727;$ 1.214.746;8 years;Home Mortgage;Consolidación de la deuda;19840,94;21,2;11;11;175427;0;
A01B17/00;211156;18/7/2022;Long Term;717;$ 1.177.848;5 years;Home Mortgage;Para hogar;14173,24;18,7;78;7;276754;0;
A01B17/002;224202;21/9/2022;Short Term;699;$ 619.609;2 years;Rent;Consolidación de la deuda;17504,13;7,6;36;14;107730;0;
A01B17/004;150942;12/6/2022;Short Term;687;$ 8.950.000;4 years;Home Mortgage;Consolidación de la deuda;5122,02;6,6;NA;8;93176;0;
A01B17/006;442706;5/7/2022;Long Term;648;$ 1.593.036;10+ years;Home Mortgage;Consolidación de la deuda;29736,71;30,4;NA;19;473214;0;
A01B17/008;403700;21/2/2022;Long Term;673;$ 1.458.136;5 years;Rent;Consolidación de la deuda;6938,23;21;NA;8;363375;1;
A01B19/00;217756;2/8/2022;Long Term;738;$ 752.248;5 years;Rent;Consolidación de la deuda;10324,6;13,8;NA;10;95456;0;
A01B19/02;2500000;17/3/2022;Short Term;749;$ 21.483.881;4 years;Rent;Consolidación de la deuda;15086,19;22,4;NA;15;65968;0;
A01B19/04;404734;8/1/2022;Long Term;657;$ 1.209.977;1 year;Home Mortgage;Consolidación de la deuda;30451,11;20,8;NA;24;600096;0;
A01B19/06;260744;5/2/2022;Long Term;704;$ 2.683.579;3 years;Home Mortgage;Consolidación de la deuda;31308,39;37,3;40;14;109003;1;
A01B19/08;490226;26/5/2022;Long Term;611;$ 1.896.390;10+ years;Home Mortgage;Consolidación de la deuda;19912,19;14;NA;7;75487;0;
A01B19/10;328614;22/11/2022;Short Term;3 years;$ 794.656;7 years;Home Mortgage;Otros;12714,42;20;NA;13;419710;0;
A01B21/00;2500000;1/4/2022;Short Term;712;$ 31.874.920;7 years;Rent;Consolidación de la deuda;10452,66;22,4;19;5;159239;0;
A01B21/02;54736;25/11/2022;Short Term;3 years;$ 1.550.362;10+ years;Home Mortgage;Otros;29844,63;18;82;12;772806;0;
A01B21/04;71962;9/10/2022;Short Term;743;$ 310.783;< 1 year;Rent;Consolidación de la deuda;388,55;30,4;NA;7;30438;1;
A01B21/06;180026;18/12/2022;Short Term;568;$ 1.874.920;2 years;Rent;Consolidación de la deuda;13863,73;8,7;NA;11;210615;0;
A01B21/08;324632;9/10/2022;Short Term;598;$ 1.874.920;5 years;Rent;Consolidación de la deuda;16335,25;19,5;16;10;257925;0;
A01B21/083;120736;12/4/2022;Short Term;725;$ 1.137.606;< 1 year;Rent;Comprar vehículo;6598,13;16,3;5;14;144704;0;
A01B21/086;2500000;24/1/2022;Short Term;675;$ 22.782.686;5 years;Rent;Facturas médicas;13892,61;6,4;NA;12;66006;0;
A01B23/00;2599089;20/12/2022;Short Term;750;$ 1.874.920;1 year;Home Mortgage;Consolidación de la deuda;16203,58;16,1;NA;7;110580;0;
A01B23/02;2500000;9/5/2022;Short Term;721;$ 23.661.808;5 years;Home Mortgage;Consolidación de la deuda;14725,19;13,7;77;18;323380;0;
A01B23/04;539836;16/6/2022;Long Term;720;$ 1.995.399;10+ years;Rent;Consolidación de la deuda;31261,08;24,5;33;9;300694;0;
A01B23/043;518804;21/8/2022;Short Term;599;$ 2.995.300;3 years;Home Mortgage;Consolidación de la deuda;26183,9;22,1;NA;15;386612;0;
A01B23/046;2500000;22/9/2022;Short Term;728;$ 22.775.276;3 years;Rent;Consolidación de la deuda;14536,52;9,8;NA;15;334628;0;
A01B23/06;2500000;27/10/2022;Short Term;742;$ 23.406.825;4 years;Home Mortgage;Consolidación de la deuda;22463,7;13,6;NA;10;580963;1;
A01B25/00;468754;3/3/2022;Short Term;746;$ 1.773.517;10+ years;Home Mortgage;Consolidación de la deuda;36061,62;31,4;NA;8;692949;0;
A01B27/00;430628;2/5/2022;Short Term;690;$ 2.995.300;3 years;Home Mortgage;Consolidación de la deuda;11365,8;15,4;NA;7;338428;0;
A01B27/005;213004;15/10/2022;Long Term;731;$ 1.316.814;10+ years;Home Mortgage;Facturas médicas;13870,38;22,1;51;14;160341;0;
A01B29/00;235026;22/12/2022;Long Term;724;$ 966.530;9 years;Home Mortgage;Consolidación de la deuda;15142,24;10,3;NA;10;52934;0;
A01B29/02;517484;11/9/2022;Short Term;748;$ 1.955.309;10+ years;Home Mortgage;Consolidación de la deuda;22160,08;19,2;NA;20;291099;0;
A01B29/04;2500000;7/8/2022;Short Term;709;$ 23.755.060;7 years;Rent;Otros;15227,17;14,3;NA;13;220286;0;
A01B29/041;240548;28/1/2022;Long Term;695;$ 1.556.974;6 years;Home Mortgage;Consolidación de la deuda;33345;26;36;32;294614;0;
A01B29/043;781946;15/1/2022;Long Term;643;$ 1.736.505;10+ years;Home Mortgage;Consolidación de la deuda;29810,05;30,1;2;8;64619;0;
A01B29/045;2500000;18/8/2022;Short Term;745;$ 29.728.992;4 years;Rent;Consolidación de la deuda;15430,47;21,5;36;11;69407;1;
A01B29/046;761684;7/12/2022;Short Term;747;$ 1.597.558;10+ years;Home Mortgage;Consolidación de la deuda;23696,99;25;NA;16;607107;0;
A01B29/048;126346;7/2/2022;Short Term;714;$ 858.458;8 years;Rent;Consolidación de la deuda;9586,07;14,8;56;5;78546;0;
A01B29/06;248094;25/4/2022;Short Term;725;$ 557.745;< 1 year;Rent;Consolidación de la deuda;8319,72;16,1;NA;7;211679;0;
A01B31/00;220858;21/3/2022;Short Term;701;$ 3.456.217;7 years;Home Mortgage;Consolidación de la deuda;12974,34;21,8;14;11;25365;0;
A01B33/00;335082;24/9/2022;Short Term;703;$ 3.456.217;7 years;Rent;Consolidación de la deuda;12290,91;10,9;23;9;137750;0;
A01B33/02;210892;26/7/2022;Short Term;746;$ 739.898;< 1 year;Rent;Otros;7645,6;10,5;28;10;74765;0;
A01B33/021;443916;15/11/2022;Short Term;738;$ 2.396.147;2 years;Rent;Consolidación de la deuda;36541,18;15,7;78;16;539961;0;
A01B33/022;390170;18/3/2022;Short Term;741;$ 10.590.000;10+ years;Home Mortgage;Consolidación de la deuda;3279,4;27,7;12;9;105412;0;
A01B33/024;436700;16/6/2022;Short Term;760;$ 10.590.000;10+ years;Rent;Consolidación de la deuda;12584,27;18;NA;4;489744;0;
A01B33/025;756448;21/11/2022;Short Term;741;$ 1.530.583;4 years;Home Mortgage;Consolidación de la deuda;21683,18;22,1;NA;7;861156;0;
A01B33/027;178310;8/12/2022;Short Term;716;$ 1.308.929;5 years;Rent;Consolidación de la deuda;20288,39;14,8;61;11;231344;0;
A01B33/028;2500000;6/6/2022;Short Term;708;$ 22.805.391;5 years;Rent;Consolidación de la deuda;18792,52;17,9;44;10;99180;0;
A01B33/04;268884;15/4/2022;Long Term;786;$ 9.590.000;5 years;Home Mortgage;Consolidación de la deuda;35680,86;21,7;NA;14;1136485;1;
A01B33/06;310244;17/8/2022;Short Term;745;$ 1.456.217;3 years;Rent;Consolidación de la deuda;20022,77;14,7;NA;7;154261;0;
A01B33/065;2500000;13/3/2022;Long Term;737;$ 19.553.744;4 years;Home Mortgage;Consolidación de la deuda;27967,43;28,5;28;16;346617;0;
A01B33/08;661892;23/2/2022;Short Term;742;$ 1.849.023;2 years;Home Mortgage;Consolidación de la deuda;27735,25;11,8;NA;15;201134;0;
A01B33/082;225522;25/4/2022;Short Term;743;$ 1.685.547;10+ years;Home Mortgage;Consolidación de la deuda;18681,56;13,6;NA;7;101973;0;
A01B33/085;229944;27/1/2022;Short Term;708;$ 584.934;1 year;Own Home;Para hogar;872,48;16,2;NA;10;76304;0;
A01B33/087;72424;6/7/2022;Short Term;737;$ 786.695;8 years;Home Mortgage;Consolidación de la deuda;7604,75;17,5;45;16;166136;0;
A01B33/10;537922;9/12/2022;Short Term;742;$ 2.032.506;8 years;Home Mortgage;Consolidación de la deuda;27608,14;18,2;26;10;1172718;0;
A01B33/103;359700;19/4/2022;Short Term;713;$ 1.941.610;10+ years;Home Mortgage;Para hogar;26697,09;22,2;72;9;539030;0;
A01B33/106;320584;10/10/2022;Long Term;606;$ 894.349;4 years;Home Mortgage;Consolidación de la deuda;21091,52;13,8;NA;9;34238;0;
A01B33/12;2500000;11/11/2022;Short Term;709;$ 1.465.394;8 years;Home Mortgage;Para hogar;35413,91;15,2;NA;19;211489;0;
A01B33/125;620796;13/3/2022;Long Term;713;$ 2.393.525;2 years;Rent;Consolidación de la deuda;21142,82;18,3;49;10;132544;0;
A01B33/14;257642;17/11/2022;Short Term;741;$ 3.152.157;2 years;Rent;Consolidación de la deuda;11163,83;20,6;28;15;284278;0;
A01B33/142;87208;10/8/2022;Short Term;3 years;$ 1.977.254;10+ years;Home Mortgage;Otros;45311,77;22,6;41;13;316160;0;
A01B33/144;44330;9/7/2022;Short Term;675;$ 765.700;10+ years;Home Mortgage;Otros;10336,95;21,7;10;4;38722;0;
A01B33/146;123156;28/2/2022;Short Term;731;$ 1.063.715;< 1 year;Own Home;Otros;7694,05;13,6;33;6;114;0;
A01B33/148;782254;17/4/2022;Long Term;634;$ 3.223.445;10+ years;Rent;Préstamo comercial;24740,09;15,1;65;10;44327;1;
A01B33/16;21670;15/3/2022;Short Term;713;$ 805.068;10+ years;Rent;Para hogar;7782,4;17,4;36;21;87799;0;
A01B35/00;270028;17/1/2022;Short Term;715;$ 3.223.445;3 years;Home Mortgage;Consolidación de la deuda;17509,26;21,5;49;10;227335;0;
A01B35/02;393228;24/8/2022;Short Term;683;$ 1.320.690;4 years;Rent;Consolidación de la deuda;25643,54;15,3;NA;14;146338;0;
A01B35/04;125422;11/1/2022;Short Term;735;$ 928.511;7 years;Home Mortgage;Consolidación de la deuda;14546,59;15,9;55;17;73549;0;
A01B35/06;2500000;6/8/2022;Long Term;3 years;$ 29.012.803;4 years;Home Mortgage;Consolidación de la deuda;53339,46;17;NA;13;953857;0;
A01B35/08;389224;1/4/2022;Short Term;709;$ 2.912.803;5 years;Rent;Consolidación de la deuda;17268,34;12,1;NA;6;339226;0;
A01B35/10;431640;4/7/2022;Short Term;722;$ 2.329.875;4 years;Home Mortgage;Para hogar;21551,32;22,6;55;12;238621;0;
A01B35/12;75064;17/11/2022;Short Term;697;$ 375.858;3 years;Rent;Consolidación de la deuda;9333,94;11,7;37;2;19950;0;
A01B35/14;80938;29/9/2022;Long Term;695;$ 431.034;1 year;Rent;Otros;7708,3;11,4;NA;6;89547;0;
A01B35/16;298298;15/2/2022;Long Term;701;$ 1.217.843;10+ years;Home Mortgage;Consolidación de la deuda;11467,83;13,4;17;7;75316;0;
A01B35/18;295966;26/4/2022;Long Term;780;$ 3.223.445;5 years;Rent;Consolidación de la deuda;15682,22;18,6;36;8;62814;0;
A01B35/20;108064;30/12/2022;Short Term;731;$ 597.303;3 years;Rent;Consolidación de la deuda;5475,23;12,8;20;15;32110;0;
A01B35/22;256982;12/4/2022;Short Term;690;$ 7.223.445;8 years;Home Mortgage;Consolidación de la deuda;15095,88;19,8;NA;11;338732;0;
A01B35/225;216722;8/8/2022;Short Term;710;$ 580.222;1 year;Rent;Consolidación de la deuda;14070,45;19,1;15;11;56544;0;
A01B35/24;427790;8/8/2022;Long Term;710;$ 2.329.875;6 years;Own Home;Consolidación de la deuda;17395,26;26,5;6;22;2660095;0;
A01B35/26;354860;13/2/2022;Short Term;685;$ 1.436.552;10+ years;Home Mortgage;Consolidación de la deuda;36512,11;16,3;NA;19;2092280;0;
A01B35/28;354882;18/5/2022;Short Term;732;$ 948.214;6 years;Home Mortgage;Consolidación de la deuda;18727,35;8,5;51;9;0;0;
A01B35/30;475244;21/3/2022;Short Term;736;$ 1.772.339;8 years;Home Mortgage;Consolidación de la deuda;34412,61;19,2;NA;22;537852;0;
A01B35/32;140976;1/1/2022;Short Term;3 years;$ 1.311.114;4 years;Rent;Consolidación de la deuda;12674,14;8,4;14;12;150936;0;
A01B37/00;110924;15/5/2022;Short Term;701;$ 728.061;10+ years;Rent;Facturas médicas;4538,34;28,9;42;9;93 years1;1;
A01B39/00;112222;29/5/2022;Short Term;732;$ 1.259.947;10+ years;Home Mortgage;Consolidación de la deuda;24988,99;15,4;NA;19;725135;0;
A01B39/02;179300;28/4/2022;Short Term;706;$ 1.025.924;10+ years;Rent;Otros;7395,18;17,9;NA;10;177004;0;
A01B39/04;270160;18/12/2022;Short Term;709;$ 1.555.416;2 years;Rent;Consolidación de la deuda;12598,9;21,2;12;5;239229;0;
